@relation 'arff/1train.arff-weka.filters.unsupervised.attribute.Remove-R4-12,45-49'

@attribute duration_beats numeric
@attribute pitch numeric
@attribute duration_s numeric
@attribute prev_dur_beats numeric
@attribute prev_pitch numeric
@attribute prev_dur_s numeric
@attribute interval_prev numeric
@attribute next_dur_beats numeric
@attribute next_pitch numeric
@attribute next_dur_s numeric
@attribute interval_next numeric
@attribute pitch_in_oct {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute pitch_in_key {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute tonic_chord_tone {0,1}
@attribute dominant_chord_tone {0,1}
@attribute prob_chord_I numeric
@attribute prob_chord_ii numeric
@attribute prob_chord_iii numeric
@attribute prob_chord_IV numeric
@attribute prob_chord_V numeric
@attribute prob_chord_vi numeric
@attribute prob_chord_vii numeric
@attribute chord {0,1,2,3,4,5,6}
@attribute pitch_in_chord {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute current_chord_tone {0,1}
@attribute nar_rd numeric
@attribute nar_rr numeric
@attribute nar_id numeric
@attribute nar_cl numeric
@attribute nar_pr numeric
@attribute nar_co numeric
@attribute beat_in_measure numeric
@attribute metric_strength {0,1,2,3}
@attribute phrase_num numeric
@attribute velocity numeric

@data
3,62,2.877415,?,?,?,?,1,59,0.959138,-3,2,7,1,1,1,0,1,0,0.5,0.5,0,0,7,1,0,0,0,0,0,10,0,3,3,69.03205
1,59,0.959138,3,62,2.877415,-3,2,55,1.918277,-4,11,4,1,0,1,0,1,0,0.5,0.5,0,0,4,1,0,0,0,0,3,6,3,1,3,68.32601
2,55,1.918277,1,59,0.959138,-4,2,57,1.918277,2,7,0,1,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,1,0,0,1,0,4,7.2,0,3,3,49.03527
2,57,1.918277,2,55,1.918277,2,2.5,59,2.397846,2,9,2,0,1,0.5,0.5,0,0.5,0.5,0.5,0.5,0,2,0,0,1.5,1,1,2,4.2,2,2,3,73.28491
2.5,59,2.397846,2,57,1.918277,2,0.5,60,0.479569,1,11,4,1,0,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0,4,1,0,0,1,0,2,4.2,0,3,3,55.27618
0.5,60,0.479569,2.5,59,2.397846,1,0.5,59,0.479569,-1,0,5,0,0,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0,5,0,0,0,1,0,1,1,2.5,0,3,90.80622
0.5,59,0.479569,0.5,60,0.479569,-1,0.5,57,0.479569,-2,11,4,1,0,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0,4,1,0,1.5,1,1,1,1,3,1,3,81.56597
0.5,57,0.479569,0.5,59,0.479569,-2,2,62,1.918277,5,9,2,0,1,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0,2,0,0,0,1,0,2,4.2,3.5,0,3,75.85663
2,62,1.918277,0.5,57,0.479569,5,2,55,1.918277,-7,2,7,1,1,1,0,0.5,0.5,0.5,0.5,0,0,7,1,0,0,0,1,5,8,0,3,3,81.1443
2,55,1.918277,2,62,1.918277,-7,2,67,1.918277,12,7,0,1,0,1,0,0.5,0.5,0.5,0.5,0,0,0,1,0,1.5,1,1,7,9.2,2,2,3,43.42097
2,67,1.918277,2,55,1.918277,12,0.5,66,0.479569,-1,7,0,1,0,0.4,0.2,0.4,0.6,0.4,0.6,0.4,3,7,1,0,0,0,1,12,10,0,3,3,46.70194
0.5,66,0.479569,2,67,1.918277,-1,0.5,64,0.479569,-2,6,11,0,1,0.4,0.2,0.4,0.6,0.4,0.6,0.4,3,6,0,1,0,1,2,1,1,2,2,3,48.92948
0.5,64,0.479569,0.5,66,0.479569,-2,0.5,66,0.479569,2,4,9,1,0,0.4,0.2,0.4,0.6,0.4,0.6,0.4,3,4,1,0,0,1,0,2,4.2,2.5,0,3,55.92556
0.5,66,0.479569,0.5,64,0.479569,2,0.5,67,0.479569,1,6,11,0,1,0.4,0.2,0.4,0.6,0.4,0.6,0.4,3,6,0,0,1.5,1,1,2,4.2,3,1,3,61.54036
0.5,67,0.479569,0.5,66,0.479569,1,3,69,2.877415,2,7,0,1,0,0.4,0.2,0.4,0.6,0.4,0.6,0.4,3,7,1,0,0,1,0,1,1,3.5,0,3,70.54238
3,69,2.877415,0.5,67,0.479569,2,1,57,0.959138,-12,9,2,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,2,4.2,0,3,3,70.65607
1,57,0.959138,3,69,2.877415,-12,0.5,57,0.479569,0,9,2,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,12,10,3,1,3,65.31808
0.5,57,0.479569,1,57,0.959138,0,0.5,59,0.479569,2,9,2,0,1,0.666667,0.166667,0.833333,0,0.5,0.5,0.333333,2,10,0,0,0,0,2,0,10,0,3,3,102.498
0.5,59,0.479569,0.5,57,0.479569,2,0.5,62,0.479569,3,11,4,1,0,0.666667,0.166667,0.833333,0,0.5,0.5,0.333333,2,0,1,0,1.5,1,1,2,4.2,0.5,0,3,69.0413
0.5,62,0.479569,0.5,59,0.479569,3,0.5,66,0.479569,4,2,7,1,1,0.666667,0.166667,0.833333,0,0.5,0.5,0.333333,2,3,1,0,0,1,0,3,6,1,1,0,84.13747
