@relation arff/3test.arff

@attribute duration_beats numeric
@attribute pitch numeric
@attribute duration_s numeric
@attribute measure numeric
@attribute dynamics {n,2,3,4,5,6,7,8,9,s,0}
@attribute beats_since_dyn numeric
@attribute dyn_change {n,c,d}
@attribute articulation {l,.,<,-}
@attribute score_vib {0,1}
@attribute ornamt {n,g,t}
@attribute slur {0,1}
@attribute slur_start {0,1}
@attribute prev_dur_beats numeric
@attribute prev_pitch numeric
@attribute prev_dur_s numeric
@attribute interval_prev numeric
@attribute next_dur_beats numeric
@attribute next_pitch numeric
@attribute next_dur_s numeric
@attribute interval_next numeric
@attribute pitch_in_oct {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute pitch_in_key {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute tonic_chord_tone {0,1}
@attribute dominant_chord_tone {0,1}
@attribute prob_chord_I numeric
@attribute prob_chord_ii numeric
@attribute prob_chord_iii numeric
@attribute prob_chord_IV numeric
@attribute prob_chord_V numeric
@attribute prob_chord_vi numeric
@attribute prob_chord_vii numeric
@attribute chord {0,1,2,3,4,5,6}
@attribute pitch_in_chord {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute current_chord_tone {0,1}
@attribute nar_rd numeric
@attribute nar_rr numeric
@attribute nar_id numeric
@attribute nar_cl numeric
@attribute nar_pr numeric
@attribute nar_co numeric
@attribute beat_in_measure numeric
@attribute metric_strength {0,1,2,3}
@attribute phrase_num numeric
@attribute velocity numeric
@attribute perf_onset_s numeric
@attribute perf_dur_s numeric
@attribute local_tempo numeric
@attribute timing_dev numeric
@attribute piece_idx numeric

@data
0.750000,71,0.538613,1,6,0.000000,n,l,0,n,1,1,NaN,NaN,NaN,NaN,0.250000,71,0.179538,0,11,4,1,0,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0,4,1,0.0,0.0,0.0,0.0,0.0,10.0,3.000000,1,9,3.954991e+01,1.161458,0.533333,84.375000,0.000000,3
0.250000,71,0.179538,1,6,0.000000,n,.,0,n,1,0,0.750000,71,0.538613,0,2.000000,76,1.436301,5,11,4,1,0,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0,4,1,0.0,0.0,0.0,0.0,0.0,10.0,3.750000,0,9,7.053451e+01,1.735417,0.255208,58.775510,-0.065885,3
2.000000,76,1.436301,2,s,0.000000,d,l,0,n,1,1,0.250000,71,0.179538,5,1.000000,75,0.718150,-1,4,9,1,0,0.500000,0.250000,0.500000,0.250000,0.000000,0.750000,0.000000,5,0,1,0.0,0.0,0.0,1.0,5.0,8.0,0.000000,3,9,4.201525e+01,2.014583,1.532292,78.314072,0.059167,3
1.000000,75,0.718150,2,s,2.000000,d,l,0,n,1,0,2.000000,76,1.436301,-1,0.750000,71,0.538613,-4,3,8,0,0,0.500000,0.250000,0.500000,0.250000,0.000000,0.750000,0.000000,5,11,0,0.0,0.0,0.0,2.0,1.0,1.0,2.000000,2,9,2.825677e+01,3.558333,0.580208,103.411131,-0.014583,3
0.750000,71,0.538613,2,s,3.000000,n,l,0,n,1,1,1.000000,75,0.718150,-4,0.250000,71,0.179538,0,11,4,1,0,0.500000,0.250000,0.500000,0.250000,0.000000,0.750000,0.000000,5,7,1,0.0,0.0,1.0,0.0,4.0,7.2,3.000000,1,9,4.526612e+01,4.237500,0.615625,73.096447,-0.114583,3
0.250000,71,0.179538,2,s,3.000000,n,.,0,n,1,0,0.750000,71,0.538613,0,2.000000,74,1.436301,3,11,4,1,0,0.500000,0.250000,0.500000,0.250000,0.000000,0.750000,0.000000,5,7,1,0.0,0.0,0.0,2.0,0.0,10.0,3.750000,0,9,7.270541e+01,4.898958,0.220833,67.924528,-0.037500,3
2.000000,74,1.436301,3,s,0.000000,d,l,0,n,1,1,0.250000,71,0.179538,3,1.000000,73,0.718150,-1,2,7,1,1,0.750000,0.000000,0.250000,0.500000,0.250000,0.500000,0.000000,0,7,1,0.0,0.0,0.0,1.0,3.0,6.0,0.000000,3,9,4.948836e+01,5.131250,1.527083,78.581173,0.066667,3
1.000000,73,0.718150,3,s,2.000000,d,l,0,n,1,0,2.000000,74,1.436301,-1,0.750000,67,0.538613,-6,1,6,0,0,0.750000,0.000000,0.250000,0.500000,0.250000,0.500000,0.000000,0,6,0,0.0,1.5,1.0,1.0,1.0,1.0,2.000000,2,9,2.262351e+01,6.681250,0.644792,93.053312,0.014583,3
0.750000,67,0.538613,3,s,3.000000,n,l,0,n,1,1,1.000000,73,0.718150,-6,0.250000,67,0.179538,0,7,0,1,0,0.750000,0.000000,0.250000,0.500000,0.250000,0.500000,0.000000,0,0,1,0.0,0.0,0.0,0.0,6.0,5.8,3.000000,1,9,4.105941e+01,7.360417,0.592708,75.922671,-0.073958,3
0.250000,67,0.179538,3,s,3.000000,n,.,0,n,1,0,0.750000,67,0.538613,0,2.000000,71,1.436301,4,7,0,1,0,0.750000,0.000000,0.250000,0.500000,0.250000,0.500000,0.000000,0,0,1,0.0,0.0,0.0,2.0,0.0,10.0,3.750000,0,9,5.430374e+01,7.976042,0.209375,71.641791,-0.034115,3
