"","V1","V2","V3"
"1",1.742,1.893,67
"2",2.202,2.831,70
"3",2.831,3.034,70
"4",3.034,3.133,74
"5",3.21,3.339,75
"6",3.42,3.645,77
"7",3.645,3.866,74
"8",3.866,4.666,70
"9",4.666,4.793,70
"10",4.793,4.91,68
"11",4.91,4.988,67
"12",4.988,5.065,68
"13",5.065,5.305,67
"14",5.56,6.233,70
"15",6.233,6.347,70
"16",6.416,6.55,74
"17",6.621,6.74,75
"18",6.818,7.035,77
"19",7.035,7.269,74
"20",7.269,8.075,70
"21",8.075,8.199,70
"22",8.199,8.302,68
"23",8.302,8.352,67
"24",8.352,8.467,68
"25",8.467,8.68,67
"26",8.945,9.587,70
"27",9.587,9.698,70
"28",9.752,9.943,74
"29",9.943,10.076,75
"30",10.172,10.43,75
"31",10.43,10.638,72
"32",10.638,11.28,72
"33",11.28,11.436,72
"34",11.436,11.667,76
"35",11.667,11.92,77
"36",11.92,12.358,77
"37",12.358,13.168,75
"38",13.168,13.596,74
"39",13.596,13.758,75
"40",13.836,14.27,82
"41",14.27,14.729,82
"42",14.729,14.921,82
"43",14.921,15.1,80
"44",15.1,15.293,79
"45",15.293,15.532,77
"46",15.532,15.968,84
"47",15.968,16.422,84
"48",16.422,16.618,84
"49",16.618,16.819,82
"50",16.819,17.019,80
"51",17.019,17.27,79
"52",17.27,17.677,85
"53",17.677,18.127,85
"54",18.127,18.314,85
"55",18.314,18.512,84
"56",18.512,18.723,83
"57",18.723,18.919,84
"58",18.919,19.127,84
"59",19.127,19.317,84
"60",19.317,19.521,83
"61",19.521,19.652,84
"62",19.741,19.842,84
"63",19.933,20.056,84
"64",20.13,20.241,83
"65",20.339,20.841,84
"66",20.841,21.731,84
"67",21.731,22.582,87
"68",22.582,23.48,90
"69",23.48,23.918,57
"70",23.918,24.027,58
"71",24.027,24.121,57
"72",24.121,24.235,60
"73",24.235,24.34,58
"74",24.34,24.464,62
"75",24.464,24.564,60
"76",24.564,24.637,63
"77",24.637,24.725,62
"78",24.725,24.832,65
"79",24.832,24.921,64
"80",24.921,25.031,67
"81",25.031,25.137,65
"82",25.137,25.248,69
"83",25.248,25.321,67
"84",25.321,25.408,70
"85",25.408,25.525,69
"86",25.525,25.628,72
"87",25.628,25.727,70
"88",25.727,25.833,74
"89",25.833,25.936,72
"90",25.936,26.033,75
"91",26.033,26.133,74
"92",26.133,26.225,77
"93",26.225,26.32,76
"94",26.32,26.443,79
"95",26.443,26.563,77
"96",26.563,26.686,80
"97",26.686,26.789,79
"98",26.789,26.894,82
"99",26.894,26.975,81
"100",26.975,27.09,84
"101",27.09,27.171,82
"102",27.171,27.437,82
"103",27.437,27.836,87
"104",27.836,28.292,91
"105",28.292,28.496,94
"106",28.496,28.674,94
"107",28.674,28.962,94
"108",28.962,29.897,58
"109",29.897,29.987,69
"110",29.987,30.071,70
"111",30.071,30.155,70
"112",30.155,30.211,71
"113",30.211,30.259,70
"114",30.259,30.334,71
"115",30.334,30.382,70
"116",30.382,30.439,71
"117",30.439,30.566,70
"118",30.566,30.567,71
"119",30.567,30.639,70
"120",30.639,30.759,71
"121",30.759,30.76,70
"122",30.76,31.336,63
"123",31.697,31.858,70
"124",32.143,32.306,67
"125",32.603,32.775,63
"126",33.042,33.31,64
"127",33.467,33.681,65
"128",33.909,34.094,67
"129",34.361,34.61,68
"130",35.306,35.505,59
"131",36.236,36.433,58
"132",37.098,37.553,74
"133",37.553,37.875,74
"134",38.083,38.564,75
"135",39.048,39.175,70
"136",39.518,39.752,67
"137",39.959,40.119,63
"138",40.389,40.702,64
"139",40.813,41.019,65
"140",41.255,41.543,67
"141",41.696,41.854,68
"142",42.652,42.847,60
"143",43.549,43.717,59
"144",44.443,44.905,71
"145",44.905,45.559,71
